,Manufacturer,Model,Sales_in_thousands,four_year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor
0,Acura,Integra,16.919,16.36,Passenger,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0,2/2/2012,58.28014952
1,Acura,TL,39.384,19.875,Passenger,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0,6/3/2011,91.37077766
2,Acura,CL,14.114,18.225,Passenger,,3.2,225.0,106.9,70.6,192.0,3.47,17.2,26.0,1/4/2012,
3,Acura,RL,8.588,29.725,Passenger,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,3/10/2011,91.38977933
4,Audi,A4,20.397000000000002,22.255,Passenger,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0,10/8/2011,62.777639199999996
5,Audi,A6,18.78,23.555,Passenger,33.95,2.8,200.0,108.7,76.1,192.0,3.5610000000000004,18.5,22.0,8/9/2011,84.56510502
6,Audi,A8,1.38,39.0,Passenger,62.0,4.2,310.0,113.0,74.0,198.2,3.9019999999999997,23.7,21.0,2/27/2012,134.6568582
7,BMW,323i,19.747,,Passenger,26.99,2.5,170.0,107.3,68.4,176.0,3.179,16.6,26.0,6/28/2011,71.19120671
8,BMW,328i,9.231,28.675,Passenger,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0,1/29/2012,81.87706856
9,BMW,528i,17.527,36.125,Passenger,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25.0,4/4/2011,83.99872380000001
10,Buick,Century,91.561,12.475,Passenger,21.975,3.1,175.0,109.0,72.7,194.6,3.3680000000000003,17.5,25.0,11/2/2011,71.18145132
11,Buick,Regal,39.35,13.74,Passenger,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0,9/3/2011,95.63670253
12,Buick,Park Avenue,27.851,20.19,Passenger,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0,3/23/2012,85.82840825
13,Buick,LeSabre,83.257,13.36,Passenger,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0,7/23/2011,84.25452581
14,Cadillac,DeVille,63.729,22.525,Passenger,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0,2/23/2012,113.8545976
15,Cadillac,Seville,15.943,27.1,Passenger,44.475,4.6,275.0,112.2,75.0,201.0,,18.5,22.0,4/29/2011,115.6213578
16,Cadillac,Eldorado,6.5360000000000005,25.725,Passenger,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,11/27/2011,113.7658739
17,Cadillac,Catera,11.185,18.225,Passenger,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0,9/28/2011,83.48309358
18,Cadillac,Escalade,14.785,,Car,46.225,5.7,255.0,117.5,77.0,201.2,5.572,30.0,15.0,4/17/2012,109.5091165
19,Chevrolet,Cavalier,145.519,9.25,Passenger,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0,8/17/2011,46.36334747
20,Chevrolet,Malibu,135.126,11.225,Passenger,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0,3/19/2012,67.31446216
21,Chevrolet,Lumina,24.629,10.31,Passenger,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0,5/24/2011,69.99139559999999
22,Chevrolet,Monte Carlo,42.593,11.525,Passenger,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0,12/22/2011,72.03091719
23,Chevrolet,Camaro,26.401999999999997,13.025,Passenger,24.34,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0,10/23/2011,81.11854333
24,Chevrolet,Corvette,17.947,36.225,Passenger,45.705,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0,5/12/2012,141.14115
25,Chevrolet,Prizm,32.299,9.125,Passenger,13.96,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0,9/11/2011,48.297636100000005
26,Chevrolet,Metro,21.855,5.16,Passenger,9.235,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0,4/13/2012,23.27627233
27,Chevrolet,Impala,107.995,,Passenger,18.89,3.4,180.0,110.5,73.0,200.0,3.389,17.0,27.0,6/18/2011,71.83803944
28,Chrysler,Sebring Coupe,7.854,12.36,Passenger,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,1/16/2012,65.95718396
29,Chrysler,Sebring Conv.,32.775,14.18,Passenger,24.495,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0,11/17/2011,69.52135505
30,Chrysler,Concorde,31.148000000000003,13.725,Passenger,22.245,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0,6/6/2012,80.02378204
31,Chrysler,Cirrus,32.306,12.64,Passenger,16.48,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0,10/6/2011,53.56619987
32,Chrysler,LHS,13.462,17.325,Passenger,28.34,3.5,253.0,113.0,74.4,207.7,3.5639999999999996,17.0,23.0,5/8/2012,101.3292807
33,Chrysler,Town & Country,53.48,19.54,Car,,,,,,,,,,7/13/2011,
34,Chrysler,300M,30.695999999999998,,Passenger,29.185,3.5,253.0,113.0,74.4,197.8,3.5669999999999997,17.0,23.0,2/10/2012,101.6552441
35,Dodge,Neon,76.03399999999999,7.75,Passenger,12.64,2.0,132.0,105.0,74.4,174.4,2.5669999999999997,12.5,29.0,12/12/2011,52.08489875
36,Dodge,Avenger,4.734,12.545,Passenger,19.045,2.5,163.0,103.7,69.1,190.2,2.8789999999999996,15.9,24.0,7/1/2012,65.65050834
37,Dodge,Stratus,71.186,10.185,Passenger,20.23,2.5,168.0,108.0,71.0,186.0,3.0580000000000003,16.0,24.0,10/31/2011,67.87610784
38,Dodge,Intrepid,88.02799999999999,12.275,Passenger,22.505,2.7,202.0,113.0,74.7,203.7,3.489,17.0,,6/2/2012,80.83147017
39,Dodge,Viper,0.9159999999999999,58.47,Passenger,69.725,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,8/7/2011,188.14432299999999
40,Dodge,Ram Pickup,227.06099999999998,15.06,Car,19.46,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0,3/6/2012,90.21170005
41,Dodge,Ram Wagon,16.767,15.51,Car,21.315,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0,1/6/2012,71.13529161
42,Dodge,Ram Van,31.038,13.425,Car,18.575,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0,7/26/2012,70.07832154
43,Dodge,Dakota,111.31299999999999,11.26,Car,16.98,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0,11/25/2011,49.64500177
44,Dodge,Durango,101.323,,Car,26.31,5.2,230.0,115.7,71.7,193.5,4.394,25.0,17.0,6/27/2012,92.85412522
45,Dodge,Caravan,181.74900000000002,12.025,Car,19.565,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0,9/1/2011,61.22700031
46,Ford,Escort,70.227,7.425,Passenger,12.07,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0,3/31/2012,44.08370946
